                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0276,                0.69205,                 0.9652,                0.96668,                0.90698,                0.94557,                0.66257,                0.91535,                0.59362,                0.93456,              0.0016898,              0.0016898,              0.0016898
                     49,                  1.008,                0.65703,                0.94906,                0.99097,                0.88372,                0.91858,                0.64178,                0.94677,                 0.6675,                0.93263,              0.0016832,              0.0016832,              0.0016832
                     50,                0.97934,                0.64265,                0.95621,                0.97316,                0.84324,                 0.9114,                0.62157,                0.86649,                0.76511,                0.91147,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.0036,                0.72237,                0.96317,                0.94047,                0.86047,                0.92094,                0.64559,                0.97344,                0.68034,                0.94462,                0.00167,                0.00167,                0.00167
                     52,                 0.9714,                0.64603,                0.94169,                 0.9464,                0.81395,                0.92396,                0.62765,                0.93591,                0.72661,                0.94025,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0131,                 0.6543,                 0.9486,                0.83695,                0.86047,                0.86679,                0.63075,                0.92859,                0.95149,                0.92203,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.0137,                0.64043,                0.98052,                0.89408,                0.83721,                0.88131,                0.64324,                0.87356,                0.71047,                0.91196,              0.0016502,              0.0016502,              0.0016502
                     55,                0.95394,                 0.6392,                0.94989,                0.94716,                0.83374,                0.91467,                0.63899,                0.96697,                0.69369,                0.94779,              0.0016436,              0.0016436,              0.0016436
                     56,                0.92099,                0.62305,                 0.9449,                0.92378,                0.86047,                 0.9318,                0.66396,                0.96388,                0.61478,                 0.9192,               0.001637,               0.001637,               0.001637
                     57,                0.91264,                0.60483,                0.94223,                      1,                0.83472,                0.92043,                0.68081,                0.89557,                0.67231,                0.91946,              0.0016304,              0.0016304,              0.0016304
                     58,                0.92005,                0.64177,                0.95417,                0.94744,                0.86047,                0.93238,                0.64848,                0.99835,                0.74233,                0.95035,              0.0016238,              0.0016238,              0.0016238
                     59,                0.92059,                0.61044,                0.92925,                0.92837,                0.81395,                0.89307,                0.65981,                  0.925,                0.77242,                0.91441,              0.0016172,              0.0016172,              0.0016172
                     60,                0.96259,                0.64355,                 0.9816,                0.86036,                0.88372,                 0.8929,                0.64808,                0.93262,                0.73727,                0.92922,              0.0016106,              0.0016106,              0.0016106
                     61,                 0.9115,                0.65459,                0.96035,                0.94854,                0.85738,                0.90872,                0.66179,                 0.9503,                0.75189,                0.94318,               0.001604,               0.001604,               0.001604
